point_id,energy_MeV,sigma_mb,sigma_unc_stat_mb,sigma_upper_95_mb,residual_count,n_protons,areal_mg_cm2,mean_interaction_energy_MeV,mean_continuous_loss_MeV,inelastic_probability,stopping_condition
0,5.0,0.0,,159.18497520095778,0,100000,5.0,0.0,0.344848724771,0.0,below_threshold
1,5.5,0.0,,159.18497520095778,0,100000,5.0,0.0,0.319776389353,1e-05,proton_cap
2,6.0,0.0,,159.18497520095778,0,100000,5.0,0.0,0.298382496098,2e-05,proton_cap
3,7.0,0.0,,159.18497520095778,0,100000,5.0,0.0,0.264088636502,2e-05,proton_cap
4,8.0,0.0,,79.59248760047889,0,100000,10.0,0.0,0.480365132394,0.00012,proton_cap
5,9.0,0.0,,79.59248760047889,0,100000,10.0,0.0,0.436252128042,0.00012,proton_cap
6,10.0,0.0,,79.59248760047889,0,100000,10.0,0.0,0.400215963815,9e-05,proton_cap
7,11.0,53.137250149563094,37.573709914361956,,2,100000,10.0,11.0,0.37013555427899997,0.00012,proton_cap
8,12.0,26.568625074781547,26.568625074781547,,1,100000,10.0,12.0,0.344682230876,9e-05,proton_cap
9,14.0,0.0,,79.59248760047889,0,100000,10.0,0.0,0.30403845382,0.00011,proton_cap
10,16.0,0.0,,79.59248760047889,0,100000,10.0,0.0,0.272709481868,0.00022,proton_cap
11,18.0,0.0,,39.796243800239445,0,100000,20.0,0.0,0.498277889601,0.00043,proton_cap
12,20.0,13.284312537390774,13.284312537390774,,1,100000,20.0,20.0,0.456357817136,0.00049,proton_cap
13,22.0,0.0,,39.796243800239445,0,100000,20.0,0.0,0.422288698597,0.00038,proton_cap
14,24.0,0.0,,39.796243800239445,0,100000,20.0,0.0,0.393586168023,0.00035,proton_cap
15,26.0,0.0,,39.796243800239445,0,100000,20.0,0.0,0.36866622161,0.00035,proton_cap
16,28.0,0.0,,39.796243800239445,0,100000,20.0,0.0,0.346742298115,0.00035,proton_cap
17,30.0,0.0,,39.796243800239445,0,100000,20.0,0.0,0.327699240332,0.00033,proton_cap
18,35.0,0.0,,39.796243800239445,0,100000,20.0,0.0,0.288567850616,0.00049,proton_cap
19,40.0,0.0,,39.796243800239445,0,100000,20.0,0.0,0.259199123968,0.00033,proton_cap
20,45.0,0.0,,19.898121900119722,0,100000,40.0,0.0,0.474303215482,0.00074,proton_cap
21,50.0,0.0,,19.898121900119722,0,100000,40.0,0.0,0.43426863157,0.00071,proton_cap
22,55.0,13.284312537390774,9.393427478590489,,2,100000,40.0,55.0,0.40321331098499996,0.00056,proton_cap
23,60.0,13.284312537390774,9.393427478590489,,2,100000,40.0,60.0,0.376287231593,0.00059,proton_cap
24,65.0,0.0,,39.796243800239445,0,100000,20.0,0.0,0.176684628427,0.00032,proton_cap
25,70.0,0.0,,19.898121900119722,0,100000,40.0,0.0,0.333988696807,0.00045,proton_cap
26,75.0,0.0,,13.265414600079817,0,100000,60.0,0.0,0.475236432378,0.00084,proton_cap
27,80.0,0.0,,19.898121900119722,0,100000,40.0,0.0,0.301601822699,0.00042,proton_cap
28,85.0,13.284312537390775,7.669701419461684,,3,100000,60.0,85.0,0.431570588477,0.00082,proton_cap
29,90.0,6.642156268695387,6.642156268695387,,1,100000,40.0,90.0,0.275596003804,0.00045,proton_cap
30,95.0,0.0,,13.265414600079817,0,100000,60.0,0.0,0.397233765844,0.00072,proton_cap
31,100.0,4.4281041791302584,4.4281041791302584,,1,100000,60.0,100.0,0.38227207902599997,0.00065,proton_cap
32,105.0,0.0,,9.949060950059861,0,100000,80.0,0.0,0.491769805128,0.00092,proton_cap
33,110.0,9.96323440304308,5.752276064596263,,3,100000,80.0,110.0,0.475323350554,0.00089,proton_cap
34,115.0,0.0,,13.265414600079817,0,100000,60.0,0.0,0.34501761718,0.00078,proton_cap
35,120.0,13.284312537390774,9.393427478590489,,2,100000,40.0,120.0,0.222873930803,0.00036,proton_cap
